Extracted:,United Nations High Commissioner for Refugees
Date extracted:,14/02/2020 12:52:04
Last updated:,14/02/2020 12:52:04

Data table contains the following:,UNHCR resettlement departures
Years selected:,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019"
2019 data (if included) as of:, December 2019
Country of origin:,"IRQ,SYR"
Country of asylum:,"AFG,BGD,KHM,CHN,HKG,MAC,FJI,IND,IDN,IRN,KAZ,KGZ,MYS,FSM,MNG,MMR,NRU,NPL,PAK,PLW,PNG,PHL,WSM,SGP,SLB,LKA,TJK,THA,TLS,TKM,UZB,VUT,VNM"
Resettlement country:,"ALB,ARG,AUS,AUT,BLR,BEL,BRA,BGR,CAN,CHL,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,HUN,ISL,IRL,ITA,JPN,LVA,LIE,LTU,LUX,MLT,MEX,MCO,NLD,NZL,NOR,PRY,POL,PRT,KOR,ROU,SVK,SVN,ESP,SWE,CHE,GBR,USA,URY"

Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
2003,IRQ,"Iraq",IDN,"Indonesia",SWE,"Sweden",31
2003,IRQ,"Iraq",THA,"Thailand",NZL,"New Zealand",17
2003,IRQ,"Iraq",PAK,"Pakistan",CAN,"Canada",2
2003,IRQ,"Iraq",IDN,"Indonesia",NZL,"New Zealand",47
2003,IRQ,"Iraq",THA,"Thailand",DNK,"Denmark",3
2003,IRQ,"Iraq",All others,"All others",IRL,"Ireland",6
2003,IRQ,"Iraq",IDN,"Indonesia",CAN,"Canada",23
2003,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",11
2003,IRQ,"Iraq",UZB,"Uzbekistan",CAN,"Canada",9
2003,IRQ,"Iraq",MYS,"Malaysia",GBR,"United Kingdom of Great Britain and Northern Ireland",6
2003,IRQ,"Iraq",IDN,"Indonesia",USA,"United States of America",5
2003,IRQ,"Iraq",All others,"All others",AUS,"Australia",339
2003,IRQ,"Iraq",NRU,"Nauru",AUS,"Australia",1
2003,IRQ,"Iraq",All others,"All others",NOR,"Norway",29
2003,IRQ,"Iraq",All others,"All others",CAN,"Canada",196
2003,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",93
2003,IRQ,"Iraq",PAK,"Pakistan",SWE,"Sweden",2
2003,IRQ,"Iraq",All others,"All others",CHE,"Switzerland",2
2003,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",GBR,"United Kingdom of Great Britain and Northern Ireland",2
2003,IRQ,"Iraq",NRU,"Nauru",CAN,"Canada",1
2003,IRQ,"Iraq",All others,"All others",SWE,"Sweden",87
2003,IRQ,"Iraq",All others,"All others",CHL,"Chile",1
2003,IRQ,"Iraq",NRU,"Nauru",NZL,"New Zealand",10
2003,IRQ,"Iraq",All others,"All others",USA,"United States of America",109
2003,IRQ,"Iraq",PAK,"Pakistan",USA,"United States of America",28
2003,IRQ,"Iraq",MYS,"Malaysia",SWE,"Sweden",8
2003,IRQ,"Iraq",All others,"All others",DEU,"Germany",75
2003,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",CAN,"Canada",38
2003,SYR,"Syrian Arab Rep.",All others,"All others",AUS,"Australia",5
2003,IRQ,"Iraq",MYS,"Malaysia",NZL,"New Zealand",6
2003,IRQ,"Iraq",NRU,"Nauru",SWE,"Sweden",1
2003,IRQ,"Iraq",LKA,"Sri Lanka",DEU,"Germany",1
2003,IRQ,"Iraq",IDN,"Indonesia",DNK,"Denmark",10
2003,IRQ,"Iraq",All others,"All others",DNK,"Denmark",25
2003,SYR,"Syrian Arab Rep.",All others,"All others",NZL,"New Zealand",4
2003,IRQ,"Iraq",HKG,"China, Hong Kong SAR",SWE,"Sweden",2
2003,IRQ,"Iraq",LKA,"Sri Lanka",NOR,"Norway",9
2003,IRQ,"Iraq",All others,"All others",FIN,"Finland",24
2003,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",1
2003,IRQ,"Iraq",IDN,"Indonesia",AUS,"Australia",51
2003,IRQ,"Iraq",PAK,"Pakistan",AUS,"Australia",35
2003,IRQ,"Iraq",LKA,"Sri Lanka",SWE,"Sweden",2
2003,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",AUS,"Australia",33
2003,IRQ,"Iraq",IDN,"Indonesia",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2003,IRQ,"Iraq",All others,"All others",FRA,"France",1
2003,IRQ,"Iraq",THA,"Thailand",NOR,"Norway",1
2003,IRQ,"Iraq",IDN,"Indonesia",NOR,"Norway",30
2003,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",12
2004,IRQ,"Iraq",MYS,"Malaysia",AUS,"Australia",1
2004,IRQ,"Iraq",PAK,"Pakistan",CAN,"Canada",1
2004,IRQ,"Iraq",IDN,"Indonesia",CAN,"Canada",9
2004,IRQ,"Iraq",MYS,"Malaysia",GBR,"United Kingdom of Great Britain and Northern Ireland",4
2004,IRQ,"Iraq",PAK,"Pakistan",FIN,"Finland",7
2004,IRQ,"Iraq",THA,"Thailand",SWE,"Sweden",1
2004,IRQ,"Iraq",NRU,"Nauru",AUS,"Australia",11
2004,IRQ,"Iraq",THA,"Thailand",NLD,"Netherlands",3
2004,IRQ,"Iraq",KHM,"Cambodia",CAN,"Canada",5
2004,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",CAN,"Canada",2
2004,IRQ,"Iraq",MYS,"Malaysia",CAN,"Canada",5
2004,IRQ,"Iraq",NPL,"Nepal",SWE,"Sweden",1
2004,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",SWE,"Sweden",3
2004,IRQ,"Iraq",IDN,"Indonesia",AUS,"Australia",52
2004,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",AUS,"Australia",9
2004,IRQ,"Iraq",PNG,"Papua New Guinea",AUS,"Australia",1
2004,IRQ,"Iraq",TKM,"Turkmenistan",CAN,"Canada",1
2005,IRQ,"Iraq",IDN,"Indonesia",AUS,"Australia",12
2005,IRQ,"Iraq",TKM,"Turkmenistan",CAN,"Canada",1
2005,IRQ,"Iraq",THA,"Thailand",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2005,IRQ,"Iraq",IDN,"Indonesia",USA,"United States of America",4
2005,IRQ,"Iraq",THA,"Thailand",CAN,"Canada",4
2005,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",GBR,"United Kingdom of Great Britain and Northern Ireland",6
